Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,ClassName,ClassID
63.4,148.5,17.5,8.3,4.5,152.0,1,Bhuttan,+1
62.0,126.5,18.1,7.3,8.2,131.2,1,Bhuttan,+1
42.8,143.9,4.6,13.6,5.2,149.5,1,Bhuttan,+1
38.0,146.9,10.1,9.6,6.4,150.9,1,Bhuttan,+1
54.4,147.5,10.3,9.2,5.0,151.5,1,Bhuttan,+1
51.2,145.8,16.1,7.6,7.7,152.4,1,Bhuttan,+1
33.3,138.8,5.0,10.6,7.5,142.1,0,Assam,-1
57.1,122.6,10.8,6.7,5.0,125.1,0,Assam,-1
35.6,149.5,10.6,9.9,4.4,152.0,0,Assam,-1
37.6,127.2,6.7,10.0,6.3,132.9,1,Bhuttan,+1
63.8,130.6,11.2,8.0,3.0,133.1,0,Assam,-1
27.8,128.3,5.5,10.1,5.0,133.1,1,Bhuttan,+1
43.2,143.8,8.9,9.6,7.2,149.4,1,Bhuttan,+1
43.4,153.4,20.9,12.4,5.9,156.9,0,Bhuttan,+1
49.1,134.6,14.6,8.7,5.8,137.6,0,Assam,-1
50.9,156.1,5.9,10.0,6.2,159.6,1,Bhuttan,+1
57.6,159.1,9.8,9.2,5.5,163.0,1,Bhuttan,+1
68.5,137.2,15.7,5.9,6.8,139.7,1,Assam,-1
35.7,145.3,17.4,7.4,4.6,147.8,1,Assam,-1
45.5,155.2,14.3,10.5,3.7,157.7,0,Assam,-1
41.8,142.0,8.7,7.4,3.8,144.5,0,Assam,-1
63.8,122.4,12.5,7.4,4.5,124.9,0,Assam,-1
36.7,151.9,17.4,8.0,5.5,157.4,1,Bhuttan,+1
47.8,144.6,8.6,10.9,5.9,148.1,1,Bhuttan,+1
38.0,147.3,13.4,11.8,8.5,151.0,1,Bhuttan,+1
35.9,142.3,14.2,7.5,3.6,144.8,0,Assam,-1
34.0,138.3,0.6,10.2,5.9,141.8,1,Bhuttan,+1
48.5,134.7,3.8,11.0,7.4,143.3,1,Bhuttan,+1
55.6,150.2,5.7,8.3,3.6,152.7,1,Assam,-1
48.5,161.3,15.4,6.0,6.9,165.0,0,Assam,-1
46.8,148.7,10.9,12.7,5.9,151.2,0,Assam,-1
44.6,152.3,12.3,5.7,5.1,157.1,0,Assam,-1
51.8,150.1,22.8,9.2,6.2,154.3,1,Bhuttan,+1
56.4,151.4,6.0,10.6,5.2,153.9,0,Assam,-1
41.1,133.9,14.8,9.1,5.0,136.4,0,Assam,-1
66.4,133.6,12.7,6.8,4.5,136.2,0,Assam,-1
62.0,140.4,12.7,8.6,5.4,142.9,0,Assam,-1
42.5,158.4,5.4,8.0,5.9,160.9,0,Assam,-1
39.6,171.7,11.2,7.0,5.8,175.3,0,Assam,-1
24.3,159.8,7.5,10.2,4.0,162.9,0,Assam,-1
44.2,151.8,8.9,8.7,5.2,154.3,0,Assam,-1
22.0,125.3,9.3,11.8,6.5,129.8,1,Bhuttan,+1
47.3,159.5,19.5,7.4,5.3,164.1,0,Assam,-1
56.6,158.8,8.3,14.7,4.8,164.9,1,Bhuttan,+1
63.4,137.7,15.5,10.0,5.7,140.2,0,Assam,-1
46.7,142.9,14.3,13.9,4.8,146.4,1,Bhuttan,+1
46.2,136.1,8.3,7.5,3.9,139.6,0,Bhuttan,+1
21.2,144.6,11.9,11.3,5.0,151.5,1,Bhuttan,+1
64.1,140.7,13.4,9.3,7.3,143.2,0,Assam,-1
46.2,150.3,5.4,9.7,4.4,154.1,1,Bhuttan,+1
59.9,155.4,-1.1,4.9,5.4,157.9,0,Assam,-1
51.7,149.9,15.1,9.8,5.0,152.4,0,Assam,-1
30.1,137.1,18.9,10.9,6.3,142.7,1,Bhuttan,+1
27.9,158.1,6.3,7.2,5.1,160.6,0,Assam,-1
37.6,136.7,9.3,6.7,8.0,140.2,1,Bhuttan,+1
33.2,143.0,-5.0,8.8,5.3,146.5,1,Bhuttan,+1
52.1,150.0,8.3,10.3,4.5,154.2,1,Bhuttan,+1
28.9,149.3,11.7,10.5,3.6,151.8,0,Assam,-1
61.2,143.1,2.7,13.6,5.7,147.8,1,Bhuttan,+1
50.1,136.3,13.9,6.4,5.7,138.8,1,Assam,-1
44.3,146.5,10.7,11.2,4.8,152.2,1,Bhuttan,+1
33.4,145.9,3.9,9.0,4.0,149.4,1,Bhuttan,+1
61.6,146.4,12.3,11.6,6.0,149.9,1,Bhuttan,+1
56.1,144.0,8.5,9.1,6.8,146.5,0,Assam,-1
42.2,139.8,10.6,9.0,6.3,145.4,1,Bhuttan,+1
45.0,160.1,13.5,12.8,5.1,163.6,1,Bhuttan,+1
47.6,154.8,13.9,6.2,5.6,157.3,0,Assam,-1
68.7,137.5,17.6,7.8,5.4,140.0,0,Assam,-1
55.5,160.3,10.1,10.6,6.7,165.8,1,Bhuttan,+1
44.9,140.1,0.9,11.9,5.5,143.6,1,Bhuttan,+1
31.9,140.8,3.7,11.2,6.2,144.9,1,Bhuttan,+1
43.1,135.2,6.2,10.6,7.7,138.7,1,Bhuttan,+1
41.2,149.1,6.4,7.3,5.0,155.5,0,Assam,-1
49.4,150.2,6.2,8.0,4.8,152.7,0,Assam,-1
48.6,144.4,10.2,9.7,5.9,146.9,0,Assam,-1
17.0,143.1,15.1,10.6,7.9,148.1,1,Bhuttan,+1
55.2,131.8,10.3,7.7,6.2,135.5,0,Assam,-1
60.0,139.7,3.5,10.2,7.9,143.2,1,Bhuttan,+1
55.2,141.8,13.3,9.2,4.2,144.3,0,Assam,-1
56.1,157.4,7.9,8.5,4.8,164.0,1,Bhuttan,+1
63.9,149.9,12.6,8.1,6.1,152.4,0,Assam,-1
31.3,137.5,9.8,10.9,6.2,141.6,1,Bhuttan,+1
55.6,152.4,12.5,7.5,7.0,156.5,1,Bhuttan,+1
47.6,158.5,2.9,10.2,5.7,163.6,1,Bhuttan,+1
51.0,113.0,13.2,6.5,6.6,115.5,0,Assam,-1
62.9,151.5,12.0,9.7,4.2,154.0,0,Assam,-1
47.3,145.6,16.4,11.8,4.2,149.1,1,Bhuttan,+1
42.0,128.5,10.5,8.4,5.7,131.0,0,Assam,-1
50.7,154.8,21.3,6.7,6.0,157.3,0,Assam,-1
30.3,155.0,1.9,9.9,5.2,157.7,0,Assam,-1
60.6,144.8,2.9,8.1,4.9,147.9,0,Assam,-1
43.4,159.7,6.4,8.4,5.7,162.2,0,Assam,-1
59.3,125.1,13.3,7.1,3.8,127.6,1,Assam,-1
53.8,127.8,15.8,10.4,3.8,130.5,0,Assam,-1
63.3,128.8,14.5,7.5,5.8,131.3,1,Assam,-1
39.5,144.4,9.1,7.1,4.0,146.9,0,Assam,-1
35.8,144.9,0.9,9.1,5.6,148.4,1,Bhuttan,+1
45.7,142.8,11.4,10.1,3.8,145.3,0,Assam,-1
51.7,156.5,10.3,6.8,4.5,159.0,0,Assam,-1
51.9,141.3,17.7,8.8,4.9,143.8,0,Assam,-1
71.9,128.2,10.3,7.0,5.7,130.7,0,Assam,-1
40.6,113.6,6.6,9.5,5.8,118.5,0,Bhuttan,+1
37.6,137.4,14.0,9.5,5.9,140.9,0,Bhuttan,+1
60.7,145.9,11.6,9.3,5.0,148.4,0,Assam,-1
52.8,142.7,6.0,13.8,6.5,147.0,1,Bhuttan,+1
59.6,144.3,10.4,4.9,5.7,148.2,1,Bhuttan,+1
39.0,137.5,20.8,7.2,5.0,140.0,0,Assam,-1
48.6,129.5,2.2,11.7,6.8,136.0,0,Bhuttan,+1
50.1,160.3,17.2,8.3,6.2,162.8,0,Assam,-1
53.0,150.1,13.0,7.5,6.1,152.6,0,Assam,-1
42.1,157.3,13.9,13.0,7.8,160.8,1,Bhuttan,+1
55.4,147.5,12.9,8.0,6.7,151.0,1,Bhuttan,+1
33.9,157.3,15.6,7.9,5.4,159.8,1,Assam,-1
27.6,142.6,13.1,11.8,4.8,147.7,1,Bhuttan,+1
39.0,140.6,9.9,9.2,6.2,143.1,0,Assam,-1
32.3,139.3,12.5,13.6,5.9,142.8,1,Bhuttan,+1
51.5,147.9,22.0,7.4,5.2,150.4,0,Assam,-1
49.3,140.5,8.0,10.3,6.2,144.0,1,Bhuttan,+1
55.4,135.1,12.2,8.4,4.6,137.6,1,Assam,-1
39.6,138.5,11.0,9.4,3.6,142.7,1,Bhuttan,+1
47.8,138.7,18.8,6.6,5.1,142.2,1,Bhuttan,+1
52.4,144.1,6.3,9.9,5.4,146.6,0,Assam,-1
48.8,157.6,5.4,9.0,5.9,161.1,1,Bhuttan,+1
49.5,151.7,19.9,9.5,5.0,155.2,1,Bhuttan,+1
38.9,141.6,5.5,9.0,4.5,144.1,0,Assam,-1
52.5,152.5,6.7,10.4,6.1,157.8,1,Bhuttan,+1
44.3,139.2,12.1,11.5,4.7,142.7,1,Bhuttan,+1
44.1,149.8,8.4,10.5,7.0,155.1,1,Bhuttan,+1
39.5,165.9,10.0,4.9,7.0,169.6,1,Bhuttan,+1
37.7,152.6,10.1,10.8,6.5,156.1,1,Bhuttan,+1
33.5,140.9,8.0,6.6,5.7,143.4,0,Assam,-1
70.0,136.2,11.4,9.4,5.0,139.0,0,Assam,-1
34.5,139.5,5.5,6.9,3.6,142.0,0,Assam,-1
68.8,160.9,1.2,9.2,6.5,164.4,1,Bhuttan,+1
40.1,148.8,9.5,8.4,3.9,151.3,0,Assam,-1
30.0,140.0,12.7,9.8,6.6,143.5,1,Bhuttan,+1
29.5,141.6,8.8,9.1,5.4,145.1,1,Bhuttan,+1
31.4,144.4,24.4,8.3,7.1,150.4,0,Bhuttan,+1
42.8,149.9,16.2,9.2,5.8,154.5,1,Bhuttan,+1
53.1,141.9,13.2,9.0,6.3,145.4,1,Bhuttan,+1
55.6,136.2,8.6,7.4,5.7,138.7,0,Assam,-1
32.5,143.0,8.5,10.8,6.7,148.3,1,Bhuttan,+1
39.7,132.6,1.4,10.3,5.1,139.0,1,Bhuttan,+1
77.7,157.3,17.2,9.0,5.8,159.8,0,Assam,-1
60.8,142.9,19.3,9.8,2.2,145.4,0,Assam,-1
58.2,121.7,11.5,6.8,4.2,124.7,0,Assam,-1
38.8,140.3,6.2,12.2,7.1,144.6,1,Bhuttan,+1
49.8,139.0,8.6,6.8,5.6,141.5,0,Assam,-1
38.7,153.7,9.4,9.7,5.7,159.7,1,Bhuttan,+1
47.1,166.3,8.9,10.2,5.6,168.8,0,Assam,-1
52.7,134.5,10.2,12.1,6.7,140.1,1,Bhuttan,+1
33.5,138.6,13.8,9.9,6.9,142.1,1,Bhuttan,+1
56.8,145.3,8.2,7.7,5.0,151.4,0,Assam,-1
58.1,153.2,1.4,8.8,6.1,156.7,1,Bhuttan,+1
38.2,128.9,1.9,11.0,6.9,135.8,1,Bhuttan,+1
59.4,167.4,5.5,10.4,6.8,170.9,0,Bhuttan,+1
46.6,138.7,6.8,6.6,4.9,141.2,0,Assam,-1
37.1,136.1,6.7,10.0,4.8,141.0,1,Bhuttan,+1
49.3,134.6,12.1,7.7,3.8,137.1,0,Assam,-1
32.2,137.1,16.8,7.4,4.4,140.6,1,Bhuttan,+1
27.9,131.6,2.1,12.0,8.0,137.2,1,Bhuttan,+1
36.1,161.7,16.2,9.8,6.3,166.7,0,Bhuttan,+1
56.7,162.1,1.9,9.3,5.6,165.6,1,Bhuttan,+1
40.5,142.3,7.4,10.6,6.4,145.8,1,Bhuttan,+1
19.1,133.8,7.4,8.7,5.3,142.0,1,Bhuttan,+1
63.6,147.1,9.4,8.9,5.3,149.6,0,Assam,-1
38.2,154.8,11.9,8.7,4.6,160.4,1,Bhuttan,+1
40.4,141.0,2.3,6.8,7.1,149.7,1,Bhuttan,+1
40.3,163.2,4.6,7.8,4.1,165.7,0,Assam,-1
52.2,138.9,10.3,7.1,4.0,141.4,0,Assam,-1
50.0,134.1,9.7,9.5,3.8,141.6,1,Bhuttan,+1
46.0,146.1,14.6,12.0,5.4,149.6,1,Bhuttan,+1
47.0,153.2,15.3,6.2,4.5,155.7,0,Assam,-1
47.9,158.3,5.6,9.3,5.0,160.8,0,Assam,-1
33.0,127.7,4.2,10.5,7.0,135.3,1,Bhuttan,+1
46.0,138.1,14.4,8.9,4.1,140.6,0,Assam,-1
22.1,119.9,5.1,7.5,7.7,127.0,1,Bhuttan,+1
57.4,152.1,12.2,6.2,5.2,155.5,0,Assam,-1
48.6,156.6,6.5,8.5,6.0,160.1,1,Bhuttan,+1
35.1,150.5,11.0,11.8,8.0,154.0,1,Bhuttan,+1
41.4,133.0,12.9,9.2,5.0,135.5,0,Assam,-1
68.0,142.1,19.6,8.1,5.4,144.6,0,Assam,-1
44.4,138.9,11.0,4.9,4.6,141.4,0,Assam,-1
24.9,147.5,5.9,10.3,6.1,153.8,1,Bhuttan,+1
37.2,158.9,8.4,6.8,6.2,161.4,0,Assam,-1
31.7,142.1,13.5,7.1,5.4,146.8,1,Bhuttan,+1
38.4,158.0,3.8,6.7,5.6,160.5,0,Assam,-1
33.4,137.5,4.6,6.5,6.6,141.3,1,Bhuttan,+1
40.4,138.6,0.9,10.3,6.2,146.1,1,Bhuttan,+1
60.8,152.2,19.5,7.4,4.5,154.7,0,Assam,-1
65.5,157.9,13.3,7.7,6.3,161.7,0,Assam,-1
38.3,146.8,13.0,11.0,5.6,149.3,0,Assam,-1
25.9,131.4,5.2,6.6,6.0,139.6,1,Bhuttan,+1
36.6,131.3,7.2,13.6,6.2,137.1,1,Bhuttan,+1
39.6,153.7,2.7,10.8,4.7,163.2,1,Bhuttan,+1
43.5,172.2,15.0,7.7,4.4,174.7,0,Assam,-1
55.0,150.0,17.9,5.7,5.5,152.5,1,Assam,-1
31.6,125.2,5.7,13.2,5.8,132.5,1,Bhuttan,+1
46.6,132.6,12.9,8.5,6.0,139.0,0,Assam,-1
55.6,149.5,14.3,8.8,6.7,156.6,1,Bhuttan,+1
56.7,123.1,11.7,5.3,3.4,125.6,1,Assam,-1
49.8,148.6,6.3,9.4,5.8,153.2,1,Bhuttan,+1
21.8,156.7,18.9,9.2,4.3,159.2,0,Assam,-1
47.9,135.2,9.0,9.9,6.1,138.7,1,Bhuttan,+1
67.1,143.3,14.1,6.0,4.8,145.8,0,Assam,-1
49.5,153.4,9.8,9.8,5.1,158.6,0,Assam,-1
57.4,164.1,6.1,11.0,6.6,167.6,1,Bhuttan,+1
34.6,163.5,10.6,8.7,5.2,166.0,0,Assam,-1
62.4,117.0,10.6,8.7,4.8,119.5,1,Assam,-1
29.9,130.5,8.1,11.8,6.4,134.0,0,Bhuttan,+1
37.4,141.1,13.8,8.1,5.1,144.8,0,Assam,-1
58.6,126.1,12.0,8.3,5.2,130.2,1,Assam,-1
